"Confirmed","Deaths","Recovered","Active","Incident_Rate","Case_Fatality_Ratio"
611994,10147,588586,13261,3270.7848389299047,1.6580227910731151
613357,10182,590977,12198,3278.069354358914,1.6600446395818422
614775,10219,593137,11419,3285.647815751677,1.6622341507055427
615914,10251,595305,10358,3291.735169437401,1.6643557379764058
617005,10277,596580,10148,3297.5659884638508,1.6656266967042406
617808,10304,598249,9255,3301.857599534646,1.6678320772796726
618747,10329,599683,8735,3306.8760588067225,1.6693414271099496
619618,10347,601268,8003,3311.53109397816,1.6698998415152562
620681,10384,602388,7909,3317.212267786697,1.6730011068487678
621439,10414,603758,7267,3321.263377614422,1.6757879695352238
622094,10437,604746,6911,3324.7640068191195,1.6777207303076385
622851,10453,605685,6713,3328.809772174776,1.6782504965071905
623415,10474,606644,6297,3331.824054421262,1.6801007354651396
624118,10502,607494,6122,3335.5812182852337,1.6826946186458331
624795,10523,608434,5838,3339.1994258754326,1.6842324282364616
624795,10523,608434,5838,3339.1994258754326,1.6842324282364616
625369,10536,609322,5511,3342.267152842601,1.6847653145582848
626448,10571,610535,5342,3348.033838204233,1.6874505146476644
626872,10585,611243,5044,3350.299894361165,1.6885424775711788
627256,10597,611970,4689,3352.3521716353694,1.6894218628438786
627698,10609,612527,4562,3354.7144282895306,1.6901439864393386
628352,10625,613246,4481,3358.2097130221587,1.6909311977999593
628838,10644,614026,4168,3360.807126447324,1.6926458006672624
628838,10644,614026,4168,3360.807126447324,1.6926458006672624
629801,10666,615452,3683,3365.9538530490368,1.6935508200209273
630200,10678,616054,3468,3368.086297404265,1.6943827356394796
630506,10691,616461,3354,3369.721705857146,1.6956222462593535
630892,10707,617006,3179,3371.784672075486,1.6971209018342284
631249,10718,617540,2991,3373.6926486038483,1.6979036798474136
631589,10722,617930,2937,3375.509769,1.69762298
631884,10732,618357,2795,3377.08638836718,1.6984129998544035
632183,10738,618754,2691,3378.684385515583,1.6985588033844632
632429,10746,619139,2544,3379.999125644369,1.69916306810725
632590,10754,619501,2335,3380.8595856473557,1.6999952575918051
632821,10764,619723,2334,3382.0941586951194,1.7009549303831573
633049,10774,620128,2147,3383.312698326678,1.7019219681256899
633276,10782,620374,2120,3384.525893486168,1.702575180490023
633542,10789,620693,2060,3385.9475230563207,1.7029652335598902
633739,10799,621060,1880,3387.000384053763,1.7040137974781415
633924,10808,621375,1741,3387.989111386387,1.7049362384134377
634072,10813,621565,1694,3388.7800932524865,1.7053268398541492
634229,10820,621783,1626,3389.6191753671997,1.7060083975977132
634325,10829,621995,1501,3390.1322446857507,1.7071690379537303
634524,10835,622114,1575,3391.1957946273305,1.707579224741696
634773,10841,622381,1551,3392.5265681723217,1.7078546188952586
634956,10849,622671,1436,3393.50460656081,1.7086223297362335
635096,10853,622882,1361,3394.252832650364,1.7088755085845289
635217,10856,623096,1265,3394.89951377062,1.7090222711293936
635331,10858,623256,1217,3395.5087835863987,1.7090304109196623
635481,10864,623409,1208,3396.310454396635,1.7095711752200302
635639,10871,623574,1194,3397.1548809834167,1.7102474832412735
635793,10873,623714,1206,3397.977929681926,1.710147799676939
635916,10877,623865,1174,3398.635299746319,1.7104460337528855
636035,10879,624044,1112,3399.2712919224396,1.7104404631820576
636160,10882,624182,1096,3399.93935093097,1.7105759557344065
636260,10882,624326,1052,3400.473798137793,1.7103071071574514
636387,10884,624326,1177,3401.1525460904604,1.7102800654318835
636529,10886,624592,1051,3401.91146112415,1.7102127318629632
636670,10889,624728,1053,3402.665031685772,1.7103051816482635
636796,10889,624866,1041,3403.338435166369,1.70996677114806
636946,10891,625024,1031,3404.1401059766054,1.7098780744364517
637087,10893,625158,1036,3404.893676538228,1.7098135733424162
637181,10894,625268,1019,3405.3960569126416,1.7097182747131503
637315,10894,625343,1078,3406.112216169786,1.709358794316782
637445,10896,625496,1053,3406.806997538657,1.7093239416733992
637603,10897,625653,1053,3407.651424125438,1.70905720330676
637755,10898,625832,1025,3408.4637838798108,1.7088066734090677
637900,10900,625929,1071,3409.2387323297053,1.7087317761404608
638028,10901,626086,1041,3409.9228247544397,1.7085457064580238
638173,10903,626261,1009,3410.6977732043347,1.7084709005238392
638373,10905,626331,1137,3411.766667617983,1.708248939099868
