Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-12-22,618747,10329,599683.0,8735.0,3306.8760588067225,1.6693414271099496
2020-12-23,619618,10347,601268.0,8003.0,3311.53109397816,1.6698998415152562
2020-12-24,620681,10384,602388.0,7909.0,3317.212267786697,1.6730011068487678
2020-12-25,621439,10414,603758.0,7267.0,3321.263377614422,1.6757879695352238
2020-12-26,622094,10437,604746.0,6911.0,3324.7640068191195,1.6777207303076385
2020-12-27,622851,10453,605685.0,6713.0,3328.809772174776,1.6782504965071905
2020-12-28,623415,10474,606644.0,6297.0,3331.824054421262,1.6801007354651396
2020-12-29,624118,10502,607494.0,6122.0,3335.581218285234,1.682694618645833
2020-12-30,624795,10523,608434.0,5838.0,3339.199425875433,1.6842324282364616
2020-12-31,624795,10523,608434.0,5838.0,3339.199425875433,1.6842324282364616
2021-01-01,625369,10536,609322.0,5511.0,3342.2671528426013,1.6847653145582848
2021-01-02,626448,10571,610535.0,5342.0,3348.0338382042323,1.6874505146476644
2021-01-03,626872,10585,611243.0,5044.0,3350.299894361165,1.6885424775711788
2021-01-04,627256,10597,611970.0,4689.0,3352.3521716353694,1.6894218628438786
2021-01-05,627698,10609,612527.0,4562.0,3354.7144282895306,1.6901439864393386
2021-01-06,628352,10625,613246.0,4481.0,3358.2097130221587,1.6909311977999593
2021-01-07,628838,10644,614026.0,4168.0,3360.807126447324,1.6926458006672624
2021-01-08,628838,10644,614026.0,4168.0,3360.807126447324,1.6926458006672624
2021-01-09,629801,10666,615452.0,3683.0,3365.9538530490368,1.6935508200209273
2021-01-10,630200,10678,616054.0,3468.0,3368.086297404265,1.6943827356394796
2021-01-11,630506,10691,616461.0,3354.0,3369.721705857146,1.6956222462593535
2021-01-12,630892,10707,617006.0,3179.0,3371.784672075486,1.6971209018342284
2021-01-13,631249,10718,617540.0,2991.0,3373.692648603848,1.6979036798474136
2021-01-14,631589,10722,617930.0,2937.0,3375.509769,1.69762298
2021-01-15,631884,10732,618357.0,2795.0,3377.08638836718,1.6984129998544035
2021-01-16,632183,10738,618754.0,2691.0,3378.684385515583,1.698558803384463
2021-01-17,632429,10746,619139.0,2544.0,3379.999125644369,1.69916306810725
2021-01-18,632590,10754,619501.0,2335.0,3380.859585647356,1.6999952575918051
2021-01-19,632821,10764,619723.0,2334.0,3382.0941586951194,1.7009549303831573
2021-01-20,633049,10774,620128.0,2147.0,3383.312698326678,1.70192196812569
2021-01-21,633276,10782,620374.0,2120.0,3384.525893486168,1.702575180490023
2021-01-22,633542,10789,620693.0,2060.0,3385.9475230563203,1.7029652335598902
2021-01-23,633739,10799,621060.0,1880.0,3387.000384053763,1.7040137974781415
2021-01-24,633924,10808,621375.0,1741.0,3387.989111386387,1.7049362384134377
2021-01-25,634072,10813,621565.0,1694.0,3388.7800932524865,1.705326839854149
2021-01-26,634229,10820,621783.0,1626.0,3389.6191753672,1.7060083975977132
2021-01-27,634325,10829,621995.0,1501.0,3390.1322446857507,1.7071690379537303
2021-01-28,634524,10835,622114.0,1575.0,3391.1957946273305,1.707579224741696
2021-01-29,634773,10841,622381.0,1551.0,3392.5265681723217,1.7078546188952586
2021-01-30,634956,10849,622671.0,1436.0,3393.50460656081,1.7086223297362335
2021-01-31,635096,10853,622882.0,1361.0,3394.252832650364,1.7088755085845289
2021-02-01,635217,10856,623096.0,1265.0,3394.89951377062,1.7090222711293936
2021-02-02,635331,10858,623256.0,1217.0,3395.5087835863987,1.7090304109196623
2021-02-03,635481,10864,623409.0,1208.0,3396.310454396635,1.7095711752200302
2021-02-04,635639,10871,623574.0,1194.0,3397.1548809834167,1.7102474832412735
2021-02-05,635793,10873,623714.0,1206.0,3397.977929681926,1.710147799676939
2021-02-06,635916,10877,623865.0,1174.0,3398.635299746319,1.7104460337528855
2021-02-07,636035,10879,624044.0,1112.0,3399.27129192244,1.7104404631820576
2021-02-08,636160,10882,624182.0,1096.0,3399.93935093097,1.7105759557344065
2021-02-09,636260,10882,624326.0,1052.0,3400.473798137793,1.7103071071574514
2021-02-10,636387,10884,624326.0,1177.0,3401.1525460904604,1.7102800654318835
2021-02-11,636529,10886,624592.0,1051.0,3401.91146112415,1.710212731862963
2021-02-12,636670,10889,624728.0,1053.0,3402.665031685772,1.7103051816482635
