Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-01-17,0.19405516810573342,0.22834840788006439,0.2294732911129932,0.014988038861494898,0.19405516810573326,0.9655259347366982,2021-01-17
2021-01-18,0.19422058201036452,0.22884400941642913,0.229846733769429,0.01294732216960406,0.19422058201036457,0.9680396679424579,2021-01-18
2021-01-19,0.1944579150039658,0.22946351133688514,0.2300757510891217,0.01293755797490602,0.19445791500396586,0.9709384805410997,2021-01-19
2021-01-20,0.19469216575089698,0.23008301325734104,0.23049355295612872,0.011111653566372112,0.19469216575089693,0.9738595399028709,2021-01-20
2021-01-21,0.1949253890822713,0.2305786147937059,0.2307473289049774,0.010848020309524972,0.19492538908227136,0.9758326501633485,2021-01-21
2021-01-22,0.19519868162035758,0.23101226613802506,0.2310764123508421,0.010262168627642433,0.19519868162035775,0.9770108546130922,2021-01-22
2021-01-23,0.19540108248503052,0.23163176805848096,0.2314550130550188,0.008504613581994825,0.19540108248503057,0.9801781740620745,2021-01-23
2021-01-24,0.19559115436302288,0.23218931978689128,0.2317799700626909,0.007147390518966946,0.19559115436302282,0.9829645231477588,2021-01-24
2021-01-25,0.19574321186541677,0.23249907074711929,0.23197597587684227,0.006688473368158962,0.19574321186541682,0.9841443840207402,2021-01-25
2021-01-26,0.19590451610782111,0.23293272209143845,0.23220086675834228,0.006024508128692086,0.19590451610782106,0.9862031150711044,2021-01-26
2021-01-27,0.19600314800126573,0.23349027381984877,0.23241956798255337,0.004803983791436801,0.19600314800126567,0.9897089755235768,2021-01-27
2021-01-28,0.19620760369705215,0.23386197497212236,0.23254232951878506,0.005526534199091928,0.1962076036970521,0.9909479964059722,2021-01-28
2021-01-29,0.19646343017067425,0.23423367612439594,0.23281776926814524,0.005292193526338914,0.1964634301706742,0.9917798591503706,2021-01-29
2021-01-30,0.19665144721755323,0.23472927766076068,0.23311693603711314,0.004169311136064053,0.19665144721755318,0.9940988264879742,2021-01-30
2021-01-31,0.1967952853954933,0.2349770784289431,0.233334605651776,0.0034369965337108822,0.19679528539549346,0.9948635851033707,2021-01-31
2021-02-01,0.1969196026778559,0.23516292900507985,0.23355537009508343,0.0024996338426988233,0.19691960267785585,0.9953068998642944,2021-02-01
2021-02-02,0.19703672805132144,0.23528682938917111,0.23372042762278988,0.002030952497192793,0.19703672805132127,0.9953314871265295,2021-02-02
2021-02-03,0.1971908403848288,0.2356585305414447,0.23387826388365918,0.0019430747449104124,0.19719084038482876,0.9969649338397515,2021-02-03
2021-02-04,0.1973531720427898,0.23609218188576386,0.23404847945910645,0.0018063760191378217,0.19735317204278974,0.9990078074423057,2021-02-04
2021-02-05,0.19751139403852402,0.23621608226985502,0.23419290479584964,0.001923546355514328,0.19751139403852397,0.9987067006746919,2021-02-05
